"kind","test","classification","lane","root_cause","source_line"
"FAILED","tests/auth/test_auth_password.py::test_login_unknown_user_is_401","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_password.py::test_login_unknown_user_is_401 - ass..."
"FAILED","tests/auth/test_auth_password.py::test_duplicate_email_is_409","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_password.py::test_duplicate_email_is_409 - Assert..."
"FAILED","tests/auth/test_auth_password.py::test_email_verification_flow","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_password.py::test_email_verification_flow - Asser..."
"FAILED","tests/auth/test_auth_password.py::test_password_reset_full_flow","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_password.py::test_password_reset_full_flow - Asse..."
"FAILED","tests/auth/test_auth_password.py::test_password_reset_revokes_existing_sessions","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_password.py::test_password_reset_revokes_existing_sessions"
"FAILED","tests/auth/test_auth_password.py::test_refresh_rotates_and_old_token_is_rejected","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_password.py::test_refresh_rotates_and_old_token_is_rejected"
"FAILED","tests/auth/test_auth_password.py::test_refresh_reuse_revokes_whole_chain","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_password.py::test_refresh_reuse_revokes_whole_chain"
"FAILED","tests/auth/test_auth_password.py::test_expired_refresh_token_rejected","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_password.py::test_expired_refresh_token_rejected"
"FAILED","tests/auth/test_auth_password.py::test_logout_revokes_single_session_and_audits","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_password.py::test_logout_revokes_single_session_and_audits"
"FAILED","tests/auth/test_auth_password.py::test_concurrent_sessions_and_logout_all","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/auth/test_auth_password.py::test_concurrent_sessions_and_logout_all"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_returns_trace","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_returns_trace - Na..."
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_trace_has_19_steps","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_trace_has_19_steps"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_trace_19_steps_exactly","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_trace_19_steps_exactly"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_detects_jurisdiction","ENVIRONMENT","intake/diagnosis","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_detects_jurisdiction"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_detects_legal_area","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_detects_legal_area"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_detects_claim_type","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_detects_claim_type"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_selects_agents","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_selects_agents - N..."
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_selects_rag_sources","ENVIRONMENT","intake/diagnosis","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_selects_rag_sources"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_returns_agents_list","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_returns_agents_list"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_returns_missing_facts","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_returns_missing_facts"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_detects_missing_facts_before_agents","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_detects_missing_facts_before_agents"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_returns_evaluation","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_returns_evaluation"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_evaluation_required_for_ud","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_evaluation_required_for_ud"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_returns_safety_result","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_returns_safety_result"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_safety_passes_for_normal_query","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_safety_passes_for_normal_query"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_urgency_detected","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_urgency_detected"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_memory_not_saved_without_consent","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_memory_not_saved_without_consent"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_memory_not_saved_without_user_id","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_memory_not_saved_without_user_id"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_compress_context_step_recorded","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_compress_context_step_recorded"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_store_audit_log_step_recorded","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_store_audit_log_step_recorded"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_apply_safety_policy_step_recorded","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_apply_safety_policy_step_recorded"
"FAILED","tests/brain/test_brain.py::TestRunBrain::test_brain_upw_claim","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/brain/test_brain.py::TestRunBrain::test_brain_upw_claim - NameEr..."
"FAILED","tests/document_intelligence/test_document_intelligence.py::TestExtractedFactStructure::test_extraction_endpoint_not_implemented","REAL DEFECT","backend/tests","Non-environment assertion or exception; inspect before fixing.","FAILED tests/document_intelligence/test_document_intelligence.py::TestExtractedFactStructure::test_extraction_endpoint_not_implemented"
"FAILED","tests/document_intelligence/test_document_intelligence.py::TestDocumentIsolation::test_uploads_scoped_to_case_owner","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/document_intelligence/test_document_intelligence.py::TestDocumentIsolation::test_uploads_scoped_to_case_owner"
"FAILED","tests/documents/test_documents.py::TestDocumentTable::test_documents_table_is_user_scoped","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/documents/test_documents.py::TestDocumentTable::test_documents_table_is_user_scoped"
"FAILED","tests/graph_rag/test_graph_rag.py::TestGetClaimSubgraph::test_ud_subgraph_has_root_node","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/graph_rag/test_graph_rag.py::TestGetClaimSubgraph::test_ud_subgraph_has_root_node"
"FAILED","tests/graph_rag/test_graph_rag.py::TestGetClaimSubgraph::test_ud_subgraph_has_nodes","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/graph_rag/test_graph_rag.py::TestGetClaimSubgraph::test_ud_subgraph_has_nodes"
"FAILED","tests/graph_rag/test_graph_rag.py::TestGetClaimSubgraph::test_ud_subgraph_has_edges","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/graph_rag/test_graph_rag.py::TestGetClaimSubgraph::test_ud_subgraph_has_edges"
"FAILED","tests/graph_rag/test_graph_rag.py::TestGetClaimSubgraph::test_ud_subgraph_includes_limitation_node","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/graph_rag/test_graph_rag.py::TestGetClaimSubgraph::test_ud_subgraph_includes_limitation_node"
"FAILED","tests/graph_rag/test_graph_rag.py::TestGetClaimSubgraph::test_ud_subgraph_includes_qualifying_service","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/graph_rag/test_graph_rag.py::TestGetClaimSubgraph::test_ud_subgraph_includes_qualifying_service"
"FAILED","tests/graph_rag/test_graph_rag.py::TestGetClaimSubgraph::test_ud_subgraph_context_text_not_empty","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/graph_rag/test_graph_rag.py::TestGetClaimSubgraph::test_ud_subgraph_context_text_not_empty"
"FAILED","tests/graph_rag/test_graph_rag.py::TestGetClaimSubgraph::test_upw_subgraph_returns_nodes","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/graph_rag/test_graph_rag.py::TestGetClaimSubgraph::test_upw_subgraph_returns_nodes"
"FAILED","tests/graph_rag/test_graph_rag.py::TestGetConceptContext::test_single_node_returned","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/graph_rag/test_graph_rag.py::TestGetConceptContext::test_single_node_returned"
"FAILED","tests/graph_rag/test_graph_rag.py::TestGetConceptContext::test_multiple_nodes_returned","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/graph_rag/test_graph_rag.py::TestGetConceptContext::test_multiple_nodes_returned"
"FAILED","tests/graph_rag/test_graph_rag.py::TestGetConceptContext::test_source_is_knowledge_graph","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/graph_rag/test_graph_rag.py::TestGetConceptContext::test_source_is_knowledge_graph"
"FAILED","tests/graph_rag/test_graph_rag.py::TestGetConceptContext::test_context_text_contains_node_label","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/graph_rag/test_graph_rag.py::TestGetConceptContext::test_context_text_contains_node_label"
"FAILED","tests/ingestion/test_ingestion.py::TestLegislationTable::test_legislation_table_exists","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestLegislationTable::test_legislation_table_exists"
"FAILED","tests/ingestion/test_ingestion.py::TestLegislationTable::test_legislation_has_required_columns","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestLegislationTable::test_legislation_has_required_columns"
"FAILED","tests/ingestion/test_ingestion.py::TestLegislationTable::test_legislation_has_rows","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestLegislationTable::test_legislation_has_rows"
"FAILED","tests/ingestion/test_ingestion.py::TestLegislationTable::test_legislation_rows_have_source_url","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestLegislationTable::test_legislation_rows_have_source_url"
"FAILED","tests/ingestion/test_ingestion.py::TestLegislationTable::test_legislation_has_embeddings","KNOWN-BENIGN","retrieval/embedding","Legacy source-table embedding/dimension expectation; corpus_chunks 1024 plane is authoritative per reports/rag_1024_retrieval_repair.txt and docs/handoff/RELEASE_STATE.md.","FAILED tests/ingestion/test_ingestion.py::TestLegislationTable::test_legislation_has_embeddings"
"FAILED","tests/ingestion/test_ingestion.py::TestLegislationTable::test_legislation_jurisdiction_is_ew","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestLegislationTable::test_legislation_jurisdiction_is_ew"
"FAILED","tests/ingestion/test_ingestion.py::TestCaseLawTable::test_case_law_chunks_table_exists","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestCaseLawTable::test_case_law_chunks_table_exists"
"FAILED","tests/ingestion/test_ingestion.py::TestCaseLawTable::test_case_law_has_required_columns","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestCaseLawTable::test_case_law_has_required_columns"
"FAILED","tests/ingestion/test_ingestion.py::TestCaseLawTable::test_case_law_chunks_status_documented","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestCaseLawTable::test_case_law_chunks_status_documented"
"FAILED","tests/ingestion/test_ingestion.py::TestAcasGuidanceTable::test_acas_guidance_table_exists","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestAcasGuidanceTable::test_acas_guidance_table_exists"
"FAILED","tests/ingestion/test_ingestion.py::TestAcasGuidanceTable::test_acas_guidance_has_rows","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestAcasGuidanceTable::test_acas_guidance_has_rows"
"FAILED","tests/ingestion/test_ingestion.py::TestAcasGuidanceTable::test_acas_guidance_has_embeddings","KNOWN-BENIGN","retrieval/embedding","Legacy source-table embedding/dimension expectation; corpus_chunks 1024 plane is authoritative per reports/rag_1024_retrieval_repair.txt and docs/handoff/RELEASE_STATE.md.","FAILED tests/ingestion/test_ingestion.py::TestAcasGuidanceTable::test_acas_guidance_has_embeddings"
"FAILED","tests/ingestion/test_ingestion.py::TestRulesTable::test_rules_table_exists","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestRulesTable::test_rules_table_exists"
"FAILED","tests/ingestion/test_ingestion.py::TestRulesTable::test_rules_has_required_columns","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestRulesTable::test_rules_has_required_columns"
"FAILED","tests/ingestion/test_ingestion.py::TestRulesTable::test_ud_time_limit_rule_exists","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestRulesTable::test_ud_time_limit_rule_exists"
"FAILED","tests/ingestion/test_ingestion.py::TestRulesTable::test_ud_qualifying_period_rule_exists","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestRulesTable::test_ud_qualifying_period_rule_exists"
"FAILED","tests/ingestion/test_ingestion.py::TestRulesTable::test_ud_compensatory_cap_rule_exists","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestRulesTable::test_ud_compensatory_cap_rule_exists"
"FAILED","tests/ingestion/test_ingestion.py::TestRulesTable::test_all_rules_have_authority_ref","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestRulesTable::test_all_rules_have_authority_ref"
"FAILED","tests/ingestion/test_ingestion.py::TestRulesTable::test_all_rules_have_effective_from","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestRulesTable::test_all_rules_have_effective_from"
"FAILED","tests/ingestion/test_ingestion.py::TestRulesTable::test_prospective_rules_exist_for_future","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_ingestion.py::TestRulesTable::test_prospective_rules_exist_for_future"
"FAILED","tests/ingestion/test_ingestion.py::TestEmbeddingDimension::test_embeddings_correct_dimension","KNOWN-BENIGN","retrieval/embedding","Legacy source-table embedding/dimension expectation; corpus_chunks 1024 plane is authoritative per reports/rag_1024_retrieval_repair.txt and docs/handoff/RELEASE_STATE.md.","FAILED tests/ingestion/test_ingestion.py::TestEmbeddingDimension::test_embeddings_correct_dimension"
"FAILED","tests/ingestion/test_rag_corpus_citations.py::test_no_sources_and_no_rules_fails_closed","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/ingestion/test_rag_corpus_citations.py::test_no_sources_and_no_rules_fails_closed"
"FAILED","tests/integration/test_brain_gatekeeper.py::test_fake_uuid_fallback","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/integration/test_brain_gatekeeper.py::test_fake_uuid_fallback - ..."
"FAILED","tests/integration/test_brain_gatekeeper.py::test_assess_uses_governed_lane","REAL DEFECT","intake/diagnosis","Non-environment assertion or exception; inspect before fixing.","FAILED tests/integration/test_brain_gatekeeper.py::test_assess_uses_governed_lane"
"FAILED","tests/integration/test_phase11_auth_routes.py::test_register_login_flow","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/integration/test_phase11_auth_routes.py::test_register_login_flow"
"FAILED","tests/integration/test_phase11_auth_routes.py::test_login_invalid_password","ENVIRONMENT","db/compose/test-env","Fresh compose DB was reachable but schema/data bootstrap was absent or incomplete (dominant errors: missing users/cases/rules/documents tables), causing cascade failures.","FAILED tests/integration/test_phase11_auth_routes.py::test_login_invalid_password"
"FAILED","tests/integration/test_phase2_engine.py::test_in_scope_ud_pipeline_reaches_assessment","REAL DEFECT","backend/tests","Non-environment assertion or exception; inspect before fixing.","FAILED tests/integration/test_phase2_engine.py::test_in_scope_ud_pipeline_reaches_assessment"
"FAILED","tests/integration/test_phase2_engine.py::test_qualifying_period_pass_3_years","REAL DEFECT","backend/tests","Non-environment assertion or exception; inspect before fixing.","FAILED tests/integration/test_phase2_engine.py::test_qualifying_period_pass_3_years"
"FAILED","tests/integration/test_phase2_engine.py::test_deadline_in_pipeline","REAL DEFECT","backend/tests","Non-environment assertion or exception; inspect before fixing.","FAILED tests/integration/test_phase2_engine.py::test_deadline_in_pipeline - A..."
"FAILED","tests/integration/test_phase2_engine.py::test_cap_current_edt","REAL DEFECT","backend/tests","Non-environment assertion or exception; inspect before fixing.","FAILED tests/integration/test_phase2_engine.py::test_cap_current_edt - psycop..."
"FAILED","tests/integration/test_phase2_engine.py::test_cap_older_edt","REAL DEFECT","backend/tests","Non-environment assertion or exception; inspect before fixing.","FAILED tests/integration/test_phase2_engine.py::test_cap_older_edt - psycopg2..."
